단계,레벨,공격력,방어력,체력,공격력 강화 비용(G),방어력 강화 비용(G),체력 강화 비용(G),공격력 누적 비용(G),방어력 누적 비용(G),체력 누적 비용(G)
enum<int>,int,float,float,float,int,int,int,int,int,int
Stage,Level,Attack,Defense,HP,Attack_Cost,Defense_Cost,HP_Cost,Attack_Cost_Cumulative,Defense_Cost_Cumulative,HP_Cost_Cumulative
1,0,0,0,0,10,10,10,0,0,0
1,1,2,1,15,11,11,11,10,10,10
1,2,4,2,30,11,11,11,21,21,21
1,3,6,3,45,11,11,11,32,32,32
1,4,8,4,60,11,11,11,43,43,43
1,5,10,5,75,11,11,11,54,54,54
1,6,12,6,90,11,11,11,65,65,65
1,7,14,7,105,11,11,11,76,76,76
1,8,16,8,120,11,11,11,87,87,87
1,9,18,9,135,11,11,11,98,98,98
1,10,20,10,150,11,11,11,109,109,109
1,11,22,11,165,11,11,11,120,120,120
1,12,24,12,180,11,11,11,131,131,131
1,13,26,13,195,11,11,11,142,142,142
1,14,28,14,210,11,11,11,153,153,153
1,15,30,15,225,11,11,11,164,164,164
1,16,32,16,240,11,11,11,175,175,175
1,17,34,17,255,11,11,11,186,186,186
1,18,36,18,270,11,11,11,197,197,197
1,19,38,19,285,11,11,11,208,208,208
1,20,40,20,300,11,11,11,219,219,219
1,21,42,21,315,11,11,11,230,230,230
1,22,44,22,330,11,11,11,241,241,241
1,23,46,23,345,11,11,11,252,252,252
1,24,48,24,360,11,11,11,263,263,263
1,25,50,25,375,11,11,11,274,274,274
1,26,52,26,390,11,11,11,285,285,285
1,27,54,27,405,11,11,11,296,296,296
1,28,56,28,420,11,11,11,307,307,307
1,29,58,29,435,11,11,11,318,318,318
1,30,60,30,450,11,11,11,329,329,329
1,31,62,31,465,11,11,11,340,340,340
1,32,64,32,480,11,11,11,351,351,351
1,33,66,33,495,11,11,11,362,362,362
1,34,68,34,510,11,11,11,373,373,373
1,35,70,35,525,11,11,11,384,384,384
1,36,72,36,540,11,11,11,395,395,395
1,37,74,37,555,11,11,11,406,406,406
1,38,76,38,570,11,11,11,417,417,417
1,39,78,39,585,11,11,11,428,428,428
1,40,80,40,600,11,11,11,439,439,439
1,41,82,41,615,11,11,11,450,450,450
1,42,84,42,630,11,11,11,461,461,461
1,43,86,43,645,11,11,11,472,472,472
1,44,88,44,660,11,11,11,483,483,483
1,45,90,45,675,11,11,11,494,494,494
1,46,92,46,690,11,11,11,505,505,505
1,47,94,47,705,11,11,11,516,516,516
1,48,96,48,720,11,11,11,527,527,527
1,49,98,49,735,11,11,11,538,538,538
1,50,100,50,750,11,11,11,549,549,549
1,51,102,51,765,11,11,11,560,560,560
1,52,104,52,780,11,11,11,571,571,571
1,53,106,53,795,11,11,11,582,582,582
1,54,108,54,810,11,11,11,593,593,593
1,55,110,55,825,11,11,11,604,604,604
1,56,112,56,840,11,11,11,615,615,615
